xxx,Epoch,Loss
Training,329,173.8518
Training,330,173.8067
Training,331,173.8025
Training,332,173.8337
Training,333,173.8133
Training,334,173.7129
Training,335,173.7725
Training,336,173.6877
Training,337,173.7732
Training,338,173.7889
Training,339,173.7317
Training,340,173.6716
Training,341,173.6057
Training,342,173.655
Training,343,173.7606
Training,344,173.6133
Training,345,173.6677
Training,346,173.6819
Training,347,173.5446
Training,348,173.6464
Training,349,173.5741
Training,350,173.6789
Training,351,173.645
Training,352,173.6745
Training,353,173.6383
Training,354,173.6127
Training,355,173.5928
Training,356,173.6568
Training,357,173.607
Training,358,173.6084
Training,359,173.5391
Training,360,173.5324
Training,361,173.6071
Training,362,173.5798
Training,363,173.5242
Training,364,173.5257
Training,365,173.5115
Training,366,173.5337
Training,367,173.5108
Training,368,173.3831
Training,369,173.5916
Training,370,173.4711
Training,371,173.5385
Training,372,173.454
Training,373,173.4579
Training,374,173.398
Training,375,173.5193
Training,376,173.5204
Training,377,173.3985
Training,378,173.4787
Training,379,173.4112
Training,380,173.3212
Training,381,173.431
Training,382,173.3661
Training,383,173.4258
Training,384,173.3459
Training,385,173.4086
Training,386,173.3384
Training,387,173.2213
Training,388,173.4183
Training,389,173.3348
Training,390,173.2907
Training,391,173.3477
Training,392,173.4189
Training,393,173.3607
Training,394,173.3499
Training,395,173.2518
Training,396,173.1787
Training,397,173.3379
Training,398,173.273
Training,399,173.3212
Training,400,173.3159
Training,401,173.2555
Training,402,173.2182
Training,403,173.2852
Training,404,173.2358
Training,405,173.1783
Training,406,173.225
Training,407,173.2159
Training,408,173.2913
Training,409,173.2349
Training,410,173.244
Training,411,173.2353
Training,412,173.2705
Training,413,173.1315
Training,414,173.257
Training,415,173.2379
Training,416,173.1461
Training,417,173.1679
Training,418,173.1796
Training,419,173.1983
Training,420,173.1366
Training,421,173.0297
Training,422,173.0899
Training,423,173.1289
Training,424,173.1182
Training,425,173.1387
Training,426,173.1366
Training,427,173.1301
Training,428,173.1146
Training,429,172.982
Training,430,173.07
Training,431,173.0752
Training,432,172.9515
Training,433,173.0682
Training,434,173.0359
Training,435,173.0941
Training,436,173.0257
Training,437,173.1135
Training,438,173.033
Training,439,172.9346
Training,440,173.0159
Training,441,173.0493
Training,442,173.0314
Training,443,173.1259
Training,444,173.0875
Training,445,172.9301
Training,446,173.0187
Training,447,172.9452
Training,448,172.9472
Training,449,172.9154
Training,450,172.9278
Training,451,173.0111
Training,452,173.01
Training,453,172.9862
Training,454,172.8633
Training,455,172.9662
Training,456,172.875
Training,457,172.9174
Training,458,172.9114
Training,459,172.93
Training,460,172.8521
Training,461,172.8665
Training,462,172.8392
Training,463,172.8399
Training,464,172.8713
Training,465,172.9801
Training,466,172.8752
Training,467,172.8798
Training,468,172.9156
Training,469,172.8236
Training,470,172.9323
Training,471,172.7717
Training,472,172.8416
Training,473,172.8297
Training,474,172.6748
Training,475,172.8895
Training,476,172.8878
Training,477,172.8224
Training,478,172.845
Training,479,172.7731
Training,480,172.8307
Training,481,172.7808
Training,482,172.6666
Training,483,172.8195
Training,484,172.7847
Training,485,172.7982
Training,486,172.7158
Training,487,172.7487
Training,488,172.7893
Training,489,172.8234
Training,490,172.78
Training,491,172.7921
Training,492,172.7169
Training,493,172.69
Training,494,172.6639
Training,495,172.6898
Training,496,172.7401
Training,497,172.6381
Training,498,172.6612
Training,499,172.7696
Training,500,172.721
Training,501,172.647
Training,502,172.6514
Training,503,172.6447
Training,504,172.7099
Training,505,172.6388
Training,506,172.5288
Training,507,172.7015
Training,508,172.6592
Training,509,172.622
Training,510,172.587
Training,511,172.6463
Training,512,172.7041
Training,513,172.6004
Training,514,172.6167
Training,515,172.6507
Training,516,172.6445
Training,517,172.6024
Training,518,172.5654
Training,519,172.6117
Training,520,172.6438
Training,521,172.5445
Training,522,172.5679
Training,523,172.652
Training,524,172.6033
Training,525,172.5078
Training,526,172.4887
Training,527,172.5831
Training,528,172.5482
Training,529,172.5628
Training,530,172.4898
Training,531,172.4841
Training,532,172.5812
Training,533,172.5222
Training,534,172.493
Training,535,172.4004
Training,536,172.5086
Training,537,172.5914
Training,538,172.5325
Training,539,172.4238
Training,540,172.5457
Training,541,172.5248
Training,542,172.449
Training,543,172.447
Training,544,172.4578
Training,545,172.48
Training,546,172.4656
Training,547,172.4089
Training,548,172.4976
Training,549,172.4053
Training,550,172.3893
Training,551,172.4142
Training,552,172.3353
Training,553,172.4491
Training,554,172.4817
Training,555,172.4396
Training,556,172.4905
Training,557,172.4372
Training,558,172.3985
Training,559,172.4518
Training,560,172.4544
Training,561,172.414
Training,562,172.3707
Training,563,172.3328
Training,564,172.3518
Training,565,172.3298
Training,566,172.3168
Training,567,172.4249
Training,568,172.4173
Training,569,172.3965
Training,570,172.357
Training,571,172.2593
Training,572,172.2736
Training,573,172.3496
Training,574,172.3624
Training,575,172.3254
Training,576,172.3096
Training,577,172.3323
Training,578,172.274
Training,579,172.2639
Training,580,172.3084
Training,581,172.2713
Training,582,172.2106
Training,583,172.3465
Training,584,172.2273
Training,585,172.3076
Training,586,172.3016
Training,587,172.1334
Training,588,172.2864
Training,589,172.3827
Training,590,172.3938
Training,591,172.3002
Training,592,172.2522
Training,593,172.2533
Training,594,172.198
Training,595,172.2032
Training,596,172.2239
Training,597,172.1987
Training,598,172.1626
Training,599,172.2571
Training,600,172.2319
Training,601,172.241
Training,602,172.2089
Training,603,172.2346
Training,604,172.2266
Training,605,172.1636
Training,606,172.1497
Training,607,172.184
Training,608,172.1508
Training,609,172.1981
Training,610,172.1557
Training,611,172.1438
Training,612,172.1438
Training,613,172.2737
Training,614,172.2779
Training,615,172.1115
Training,616,172.0619
Training,617,172.1412
Training,618,172.1308
Training,619,172.0869
Training,620,172.1322
Training,621,172.1178
Training,622,172.1034
Training,623,172.0828
Training,624,172.0361
Training,625,172.1316
Training,626,172.0665
Training,627,171.98
Training,628,172.0175
Training,629,172.0974
Training,630,172.0489
Training,631,172.0942
Training,632,172.0888
Training,633,172.2385
Training,634,172.0298
Training,635,172.0181
Training,636,172.0467
Training,637,172.022
Training,638,172.0871
Training,639,172.0742
Training,640,172.0061
Training,641,171.9498
Training,642,171.8943
Training,643,171.9862
Training,644,172.0555
Training,645,171.9703
Training,646,172.0047
Training,647,171.9887
Training,648,171.8985
Training,649,171.9863
Training,650,172.0167
Training,651,171.9689
Training,652,171.9388
Training,653,171.949
Training,654,171.992
Training,655,171.9976
Training,656,171.9959
Training,657,171.983
Training,658,171.9446
Training,659,171.9623
Training,660,171.9833
Training,661,171.9323
Training,662,171.8659
Training,663,171.8773
Training,664,171.8748
Training,665,171.8912
Training,666,171.9068
Training,667,171.9471
Training,668,171.9657
Training,669,171.9219
Training,670,171.9248
Training,671,171.8994
Training,672,171.8744
Training,673,171.961
Training,674,171.9177
Training,675,171.9196
Training,676,171.9393
Training,677,171.854
Training,678,171.9112
Training,679,171.881
Training,680,171.8623
Training,681,171.8882
Training,682,171.8227
Training,683,171.9023
Training,684,171.8204
Training,685,171.8148
Training,686,171.8424
Training,687,171.8242
Training,688,171.7814
Training,689,171.8371
Training,690,171.7979
Training,691,171.7607
Training,692,171.8335
Training,693,171.853
Training,694,171.8771
Training,695,171.7943
Training,696,171.8781
Training,697,171.7028
Training,698,171.7332
Training,699,171.762
Training,700,171.6537
Training,701,171.783
Training,702,171.7344
Training,703,171.7632
Training,704,171.697
Training,705,171.8262
Training,706,171.7578
Training,707,171.7155
Training,708,171.8295
Training,709,171.7091
Training,710,171.7356
Training,711,171.7198
Training,712,171.7951
Training,713,171.7674
Training,714,171.7053
Training,715,171.6615
Training,716,171.7704
Training,717,171.7164
Training,718,171.7397
Training,719,171.7114
Training,720,171.7207
Training,721,171.6865
Training,722,171.7154
Training,723,171.6603
Training,724,171.7017
Training,725,171.7792
Training,726,171.6783
Training,727,171.6413
Training,728,171.7594
Training,729,171.6217
Training,730,171.7249
Training,731,171.6912
Training,732,171.5534
Training,733,171.7455
Training,734,171.6982
Training,735,171.6143
Training,736,171.5728
Training,737,171.6399
Training,738,171.6516
Training,739,171.6032
Training,740,171.6034
Training,741,171.7233
Training,742,171.5039
Training,743,171.6119
Training,744,171.5826
Training,745,171.5723
Training,746,171.6399
Training,747,171.5349
Training,748,171.5308
Training,749,171.4174
Training,750,171.53
Training,751,171.5676
Training,752,171.4701
Training,753,171.5404
Training,754,171.6624
Training,755,171.6185
Training,756,171.56
Training,757,171.4788
Training,758,171.4873
Training,759,171.6077
Training,760,171.4983
Training,761,171.5112
Training,762,171.4501
Training,763,171.5034
Training,764,171.4892
Training,765,171.4906
Training,766,171.4941
Training,767,171.5019
Training,768,171.4474
Training,769,171.5163
Training,770,171.4636
Training,771,171.4543
Training,772,171.5311
Training,773,171.5227
Training,774,171.5286
Training,775,171.4565
Training,776,171.4726
Training,777,171.5474
Training,778,171.3649
Training,779,171.4678
Training,780,171.4831
Training,781,171.4552
Training,782,171.4208
Training,783,171.4523
Training,784,171.3754
Training,785,171.536
Training,786,171.363
Training,787,171.4148
Training,788,171.3944
Training,789,171.4936
Training,790,171.3648
Training,791,171.3999
Training,792,171.3689
Training,793,171.3731
Training,794,171.4287
Training,795,171.322
Training,796,171.3316
Training,797,171.2979
Training,798,171.3428
Training,799,171.3685
Training,800,171.3135
Training,801,171.3252
Training,802,171.269
Training,803,171.3828
Training,804,171.4375
Training,805,171.3207
Training,806,171.3361
Training,807,171.2426
Training,808,171.3276
Training,809,171.2751
Training,810,171.3028
Training,811,171.3792
Training,812,171.3948
Training,813,171.3299
Training,814,171.3451
Training,815,171.349
Training,816,171.2258
Training,817,171.3677
Training,818,171.282
Training,819,171.3693
Training,820,171.259
Training,821,171.306
Training,822,171.209
Training,823,171.3207
Training,824,171.3741
Training,825,171.2353
Training,826,171.2556
Training,827,171.2346
Training,828,171.3114
Training,829,171.2563
Training,830,171.1983
Training,831,171.2445
Training,832,171.24
Training,833,171.2398
Training,834,171.3302
Training,835,171.2442
Training,836,171.1533
Training,837,171.2582
Training,838,171.1753
Training,839,171.1928
Training,840,171.2647
Training,841,171.1136
Training,842,171.2013
Training,843,171.2087
Training,844,171.1001
Training,845,171.1254
Training,846,171.1662
Training,847,171.1984
Training,848,171.1583
Training,849,171.1919
Training,850,171.1138
Training,851,171.182
Training,852,171.1276
Training,853,171.0809
Training,854,171.1102
Training,855,171.09
Training,856,171.2037
Training,857,171.152
Training,858,171.2262
Training,859,171.0853
Training,860,171.1459
Training,861,171.091
Training,862,171.1405
Training,863,171.1334
Training,864,171.0299
Training,865,171.0947
Training,866,171.0419
Training,867,171.1222
Training,868,171.0591
Training,869,171.1258
Training,870,171.1068
Training,871,171.0156
Training,872,171.156
Training,873,171.0468
Training,874,171.1524
Training,875,171.1289
Training,876,171.0103
Training,877,171.1267
Training,878,171.0009
Training,879,171.0819
Training,880,171.0311
Training,881,171.0039
Training,882,171.0587
Training,883,171.1059
Training,884,170.9917
Training,885,171.0584
Training,886,170.9972
Training,887,171.0562
Training,888,171.0455
Training,889,171.016
Training,890,171.0361
Training,891,171.0656
Training,892,170.9884
Training,893,170.9525
Training,894,170.9602
Training,895,170.9982
Training,896,170.9361
Training,897,170.9377
Training,898,170.9447
Training,899,170.9454
Training,900,170.8758
Training,901,171.0696
Training,902,170.9834
Training,903,170.9623
Training,904,170.8985
Training,905,170.9227
Training,906,170.9758
Training,907,170.9763
Training,908,170.8525
Training,909,170.9501
Training,910,170.8493
Training,911,170.8822
Training,912,171.0032
Training,913,170.8968
Training,914,171.0011
Training,915,170.9594
Training,916,170.8513
Training,917,170.921
Training,918,170.9944
Training,919,170.8995
Training,920,170.901
Training,921,170.8552
