epoch,training_loss,testing_loss,accuracy
201,100.1625,100.6828,0.975
202,100.1328,100.5844,0.979
203,100.1251,100.5905,0.989
204,100.0781,100.5198,0.985
205,100.0406,100.5172,0.98
206,100.0287,100.5047,0.978
207,100.0025,100.4581,0.979
208,99.9829,100.468,0.982
209,99.9612,100.4965,0.98
210,99.9247,100.4058,0.988
211,99.8959,100.4216,0.979
212,99.8749,100.4655,0.979
213,99.8636,100.4265,0.979
214,99.8456,100.3719,0.974
215,99.7992,100.3142,0.976
216,99.7854,100.33,0.984
217,99.772,100.3198,0.987
218,99.7429,100.3495,0.99
219,99.7093,100.3772,0.973
220,99.6957,100.1877,0.977
221,99.6672,100.2224,0.982
222,99.6579,100.2075,0.977
223,99.6382,100.2353,0.981
224,99.603,100.1736,0.983
225,99.5732,100.1373,0.983
226,99.563,100.148,0.986
227,99.5389,100.1463,0.99
228,99.5367,100.0618,0.987
229,99.4926,100.0557,0.984
230,99.488,100.0123,0.978
231,99.4591,100.0892,0.987
232,99.4451,100.0055,0.982
233,99.4239,99.9199,0.98
234,99.3859,100.0236,0.981
235,99.3504,100.0062,0.984
236,99.359,99.9726,0.984
237,99.3232,99.9423,0.983
238,99.306,99.9163,0.981
239,99.2644,99.8687,0.982
240,99.2499,99.8484,0.984
241,99.2336,99.9491,0.985
242,99.2111,99.9219,0.984
243,99.2208,99.9134,0.986
244,99.1978,99.871,0.988
245,99.1616,99.8429,0.985
246,99.1519,99.8927,0.98
247,99.1474,99.7906,0.986
248,99.1078,99.9403,0.98
249,99.1094,99.8807,0.986
250,99.0634,99.7677,0.981
251,99.0423,99.6981,0.984
252,99.0346,99.7347,0.981
253,99.0301,99.7848,0.984
254,99.0037,99.6781,0.984
255,98.9887,99.758,0.98
256,98.9639,99.6851,0.981
257,98.9367,99.6605,0.981
258,98.9325,99.6698,0.986
259,98.9134,99.7118,0.973
260,98.8776,99.6198,0.986
261,98.8797,99.709,0.985
262,98.8454,99.5355,0.991
263,98.8274,99.6818,0.984
264,98.8217,99.6623,0.984
265,98.7788,99.5361,0.982
266,98.7801,99.5524,0.982
267,98.7649,99.5408,0.986
268,98.7633,99.5172,0.983
269,98.7233,99.4661,0.983
270,98.717,99.4566,0.984
271,98.6955,99.502,0.985
272,98.6811,99.4306,0.991
273,98.6609,99.4708,0.984
274,98.6475,99.3994,0.984
275,98.6258,99.4325,0.981
276,98.6254,99.4051,0.979
277,98.5852,99.3539,0.976
278,98.5703,99.4273,0.983
279,98.5754,99.3212,0.978
280,98.5648,99.4516,0.979
281,98.537,99.3284,0.986
282,98.5088,99.2906,0.988
283,98.5013,99.2978,0.978
284,98.4931,99.4048,0.978
285,98.4778,99.3819,0.984
286,98.4642,99.2896,0.983
287,98.4301,99.3146,0.986
288,98.4227,99.2506,0.986
289,98.4044,99.2991,0.98
290,98.4001,99.2921,0.987
291,98.3975,99.2186,0.979
292,98.3515,99.2005,0.984
293,98.3476,99.1908,0.984
294,98.3143,99.2092,0.987
295,98.2971,99.1353,0.981
296,98.2992,99.1837,0.982
297,98.287,99.1961,0.982
298,98.2625,99.2083,0.992
299,98.2556,99.0783,0.988
300,98.237,99.0773,0.979
301,98.2244,99.1264,0.988
302,98.2244,99.0752,0.981
303,98.2219,99.0782,0.987
304,98.1812,99.0643,0.983
305,98.1703,99.0807,0.991
306,98.1368,99.0309,0.983
307,98.1425,99.0773,0.988
308,98.1213,98.9903,0.982
309,98.1013,99.2019,0.981
310,98.1008,99.042,0.982
311,98.0981,99.039,0.981
312,98.0771,98.969,0.97
313,98.0702,98.9516,0.984
314,98.0391,99.0388,0.979
315,98.0224,98.9723,0.985
316,98.003,99.0202,0.986
317,98.0204,99.0652,0.989
318,97.968,98.9877,0.977
319,97.9651,98.9691,0.979
320,97.9635,99.0906,0.983
321,97.9727,98.9208,0.986
322,97.9243,98.8941,0.982
323,97.9358,99.0188,0.982
324,97.9101,98.9805,0.981
325,97.8789,98.9913,0.981
326,97.8737,98.9647,0.986
327,97.8656,98.8788,0.992
328,97.8721,98.856,0.975
329,97.8522,98.9519,0.989
330,97.8302,98.8293,0.984
331,97.8117,98.7894,0.977
332,97.8093,98.8441,0.981
333,97.7865,98.8406,0.986
334,97.7897,98.8353,0.983
335,97.7676,98.8254,0.987
336,97.771,98.7895,0.984
337,97.7358,98.8405,0.987
338,97.7377,98.7852,0.983
339,97.7123,98.8198,0.987
340,97.7286,98.7809,0.982
341,97.6943,98.7174,0.984
342,97.6828,98.7691,0.978
343,97.6608,98.7575,0.981
344,97.6795,98.7941,0.979
345,97.6509,98.7172,0.986
346,97.6204,98.6977,0.984
347,97.6093,98.7331,0.981
348,97.6443,98.8995,0.983
349,97.6041,98.828,0.981
350,97.5985,98.6462,0.981
351,97.5691,98.6661,0.989
352,97.5567,98.7332,0.983
353,97.5532,98.6788,0.99
354,97.5537,98.6137,0.986
355,97.5409,98.6891,0.987
356,97.5177,98.61,0.986
357,97.5051,98.5986,0.981
358,97.49,98.6386,0.984
359,97.4839,98.6378,0.979
360,97.4556,98.5898,0.988
361,97.4681,98.6207,0.981
362,97.4472,98.6374,0.987
363,97.4549,98.5688,0.988
364,97.4464,98.5928,0.982
365,97.4185,98.5737,0.99
366,97.4116,98.5607,0.992
367,97.3973,98.6036,0.989
368,97.4034,98.6204,0.989
369,97.3846,98.5007,0.991
370,97.3747,98.6217,0.982
371,97.3588,98.5992,0.982
372,97.3482,98.5591,0.982
373,97.34,98.5207,0.985
374,97.3305,98.5008,0.987
375,97.3183,98.58,0.988
376,97.3146,98.532,0.987
377,97.2915,98.4672,0.979
378,97.2903,98.5215,0.982
379,97.2755,98.4226,0.992
380,97.2804,98.5573,0.987
381,97.2795,98.4822,0.991
382,97.2364,98.4433,0.985
383,97.2447,98.5107,0.976
384,97.2285,98.3927,0.98
385,97.2228,98.4987,0.99
386,97.2235,98.526,0.994
387,97.194,98.4099,0.985
388,97.1911,98.3925,0.985
389,97.1831,98.3956,0.987
390,97.1641,98.4544,0.985
391,97.1433,98.4044,0.987
392,97.1411,98.5414,0.979
393,97.1488,98.4486,0.989
394,97.1351,98.4194,0.992
395,97.1328,98.4025,0.994
396,97.1141,98.3994,0.984
397,97.1183,98.4138,0.991
398,97.1045,98.4684,0.99
399,97.0735,98.3693,0.988
400,97.0709,98.3455,0.984
401,97.0697,98.4306,0.985
402,97.0431,98.3127,0.984
403,97.0361,98.3361,0.983
404,97.037,98.333,0.985
405,97.026,98.4114,0.99
406,97.0141,98.2921,0.991
407,97.0097,98.4473,0.987
408,97.0098,98.2504,0.987
409,96.9999,98.306,0.978
410,96.9845,98.272,0.988
411,96.9523,98.4353,0.986
412,96.9491,98.3738,0.993
413,96.963,98.2913,0.985
