,Epoch,Train_Loss,Test_Loss,Sigma_clipped
0,0.0,2205.6716826622896,160.11078002929688,0.0
1,1.0,181.76380713414665,159.03092620849608,0.0
2,2.0,181.34203698822947,158.2261964416504,0.0
3,3.0,181.05828754694775,158.16702224731446,0.0
4,4.0,180.9804221844914,158.13781036376952,0.0
5,5.0,180.90283826962866,158.41882080078125,0.0
6,6.0,180.8406707077797,158.0666177368164,0.0
7,7.0,180.8274707216205,158.53821350097655,0.0
8,8.0,180.8129696932706,159.46203002929687,0.0
9,9.0,180.7821563766942,158.10386962890624,0.0
10,10.0,180.72938868744205,157.75002868652345,0.0
11,11.0,180.75882869296603,158.0377767944336,0.0
12,12.0,180.71795254639906,158.70240264892578,0.0
13,13.0,180.71640882858122,157.6289028930664,0.0
14,14.0,180.71690024790138,158.63629180908202,0.0
15,15.0,180.66969950820462,158.68380432128907,0.0
16,16.0,180.67769967820908,157.53933807373048,0.0
17,17.0,180.67521975738833,158.48479064941407,0.0
18,18.0,180.69498590565692,158.2597283935547,0.0
19,19.0,180.65181600936737,158.3601382446289,0.0
20,20.0,180.6483361847232,158.03463409423827,0.0
21,21.0,180.65155388880257,158.75020477294922,0.0
22,22.0,180.61521255030777,157.75308959960938,0.0
23,23.0,180.60013985373757,159.0302996826172,0.0
24,24.0,180.62543522073764,158.27847839355468,0.0
25,25.0,180.64709561588788,159.12357513427733,0.0
26,26.0,180.60907301700476,158.43137329101563,0.0
27,27.0,180.57950196853793,158.93221069335937,0.0
28,28.0,180.5701567401308,157.7376010131836,0.0
29,29.0,180.4524093481507,158.17537322998047,0.0
30,30.0,179.5312999798553,159.09136840820312,0.0
31,31.0,172.0091523426711,149.95518005371093,0.0
32,32.0,168.72949418925276,149.4034130859375,0.0
33,33.0,167.49496834225124,149.99965576171874,0.0
34,34.0,166.80080910807908,150.09188369750976,0.0
35,35.0,166.1625710416081,148.53465591430665,0.0
36,36.0,165.53103076742153,151.7124771118164,0.0
37,37.0,165.29485179554334,148.1227883911133,0.0
38,38.0,164.71957240480364,153.66030090332032,0.0
39,39.0,164.55610665754838,149.15858825683594,0.0
40,40.0,164.27604357786853,148.2848992919922,0.0
41,41.0,164.11722211356116,148.09468765258788,0.0
42,42.0,163.839681744431,148.03205001831054,0.0
43,43.0,163.7132626535435,147.9655012512207,0.0
44,44.0,163.68030752278338,148.6884359741211,0.0
45,45.0,163.47370777823707,147.52958892822267,0.0
46,46.0,163.30811055038916,148.43247192382813,0.0
47,47.0,163.07758157672305,147.573465423584,0.0
48,48.0,163.2016423369899,147.52610122680665,0.0
49,49.0,163.07595965260208,147.48711303710937,0.0
50,50.0,163.06003799361412,147.22816131591796,0.0
51,51.0,162.84497907657817,147.38703498840331,0.0
52,52.0,162.8337491137572,148.36302856445312,0.0
53,53.0,162.78880536320233,147.5774415588379,0.0
54,54.0,162.76327930373375,147.7856903076172,0.0
55,55.0,162.67430669649684,147.59292266845702,0.0
56,56.0,162.6010609852184,146.96584579467773,0.0
57,57.0,162.5841115966951,146.72720291137696,0.0
58,58.0,162.51122692493476,147.16975967407225,0.0
59,59.0,162.47102805551856,147.55991439819337,0.0
60,60.0,162.4231659239952,146.9019440460205,0.0
61,61.0,162.4715394102925,146.73632186889648,0.0
62,62.0,162.41619120934996,147.12854759216307,0.0
63,63.0,162.35485421498618,147.04625137329103,0.0
64,64.0,162.27674020092897,146.96029426574708,0.0
65,65.0,162.26584258532284,147.5392251586914,0.0
66,66.0,162.24625738317317,146.42977249145508,0.0
67,67.0,162.20237296017734,146.80498123168945,0.0
68,68.0,162.1736101678405,146.72170028686523,0.0
69,69.0,162.21263131498085,147.03892227172852,0.0
70,70.0,162.2314977460919,146.5800439453125,0.0
71,71.0,162.14188064883453,147.48812774658202,0.0
72,72.0,162.0944898809568,147.00255897521973,0.0
73,73.0,162.09840278432827,146.8090308380127,0.0
74,74.0,162.07206058001276,146.61560821533203,0.0
75,75.0,161.99080034429377,146.6260205078125,0.0
76,76.0,162.00880167296438,146.63462493896483,0.0
77,77.0,162.01804249811653,146.49380058288574,0.0
78,78.0,161.9902006419018,147.0201358795166,0.0
79,79.0,161.91159887795496,147.9159408569336,0.0
80,80.0,162.02486183590358,146.62957977294923,0.0
81,81.0,161.95475609557798,146.518650970459,0.0
82,82.0,161.90188800041122,146.86219512939454,0.0
83,83.0,161.92434925618798,146.51865966796876,0.0
84,84.0,161.89940465214278,146.6768194580078,0.0
85,85.0,161.86875211041382,146.78590270996094,0.0
86,86.0,161.77450204329057,146.71605903625488,0.0
87,87.0,161.83914279745082,146.60190078735351,0.0
88,88.0,161.8429123132879,146.8810191345215,0.0
89,89.0,161.7958184644911,146.9593534851074,0.0
90,90.0,161.82466696228644,146.26951797485353,0.0
91,91.0,161.75673052238696,146.35650047302246,0.0
92,92.0,161.74608854621349,147.03871032714844,0.0
93,93.0,161.73314440948795,146.82597770690919,0.0
94,94.0,161.71661763239388,147.20603210449218,0.0
95,95.0,161.72767712679777,146.90096130371094,0.0
96,96.0,161.71830246896454,146.78673332214356,0.0
97,97.0,161.674275945413,146.64244338989258,0.0
98,98.0,161.70889751588456,146.6381972503662,0.0
99,99.0,161.6838985088618,146.44117599487305,0.0
100,100.0,161.63490497203787,146.55086166381835,0.0
101,101.0,161.6897399875371,146.41945350646972,0.0
102,102.0,161.59556779379795,146.68262619018554,0.0
103,103.0,161.62409701145057,146.80741958618165,0.0
104,104.0,161.63651499391807,146.10562088012696,0.0
105,105.0,161.60359975679955,146.49442642211915,0.0
106,106.0,161.6713696416219,146.7067840576172,0.0
107,107.0,161.6096176667647,146.63678382873536,0.0
108,108.0,161.58529040827895,146.9793995666504,0.0
109,109.0,161.61396483257565,146.7615982055664,0.0
110,110.0,161.56320095370515,146.48793403625487,0.0
111,111.0,161.48933452529135,146.40472259521485,0.0
112,112.0,161.54645137555673,146.85034881591798,0.0
113,113.0,161.4655465139524,146.78287536621093,0.0
114,114.0,161.47819059121488,146.8067514038086,0.0
115,115.0,161.49007711853645,146.26042770385743,0.0
116,116.0,161.44722528823698,146.45726226806642,0.0
117,117.0,161.4758961533055,146.69378913879393,0.0
118,118.0,161.49546782753686,146.31145462036133,0.0
119,119.0,161.4357191713892,146.4765647125244,0.0
120,120.0,161.4557322723697,146.86000701904297,0.0
121,121.0,161.39385162700307,147.00209030151368,0.0
122,122.0,161.440433808529,146.71452270507814,0.0
123,123.0,161.42365850313746,146.47610054016113,0.0
124,124.0,161.43402175248272,146.5911131286621,0.0
125,125.0,161.39260288238526,146.4924585723877,0.0
126,126.0,161.3844938258932,146.44500564575196,0.0
127,127.0,161.3823696514091,146.68534088134766,0.0
128,128.0,161.38400252756446,146.4482802581787,0.0
129,129.0,161.32424606014985,146.84647773742677,0.0
130,130.0,161.34704155507714,146.51830657958985,0.0
131,131.0,161.36324941885593,146.88813690185546,0.0
132,132.0,161.40317652577102,146.60629287719726,0.0
133,133.0,161.35105491368458,146.35184829711915,0.0
134,134.0,161.33794803657918,146.3726611328125,0.0
135,135.0,161.35731591812288,146.72186065673827,0.0
136,136.0,161.27267222587508,147.05958114624025,0.0
137,137.0,161.29800269849372,146.36326965332032,0.0
138,138.0,161.32365631951225,146.51098686218262,0.0
139,139.0,161.25943073735093,146.2795266723633,0.0
140,140.0,161.23937447403418,146.37995147705078,0.0
141,141.0,161.2689603316182,146.31052322387694,0.0
142,142.0,161.20742318047417,146.355756149292,0.0
143,143.0,161.23613999106666,146.3184307861328,0.0
144,144.0,161.2173660309146,146.5215576171875,0.0
145,145.0,161.25020464733393,146.4966714477539,0.0
146,146.0,161.22053484598794,146.3571354675293,0.0
147,147.0,161.25121604379981,146.36422485351562,0.0
148,148.0,161.20742908554848,146.35825073242188,0.0
149,149.0,161.22620859704836,146.31585929870604,0.0
150,150.0,161.2085225858592,146.1031615447998,0.0
151,151.0,161.22140523660062,146.42741813659669,0.0
152,152.0,161.19653008855954,146.3367250061035,0.0
153,153.0,161.2380846601544,146.46187805175782,0.0
154,154.0,161.18179040195966,146.33280960083007,0.0
155,155.0,161.1424739178744,146.90440361022948,0.0
156,156.0,161.1828734228346,146.5465665435791,0.0
157,157.0,161.18473210267345,146.34368972778321,0.0
158,158.0,161.14697460636947,146.583070602417,0.0
159,159.0,161.15528970776182,146.34059539794922,0.0
160,160.0,161.137614934902,146.15834419250487,0.0
161,161.0,161.13415755532006,146.50169662475585,0.0
162,162.0,161.12728030002478,146.45598350524904,0.0
163,163.0,161.09682338868728,146.46992446899415,0.0
164,164.0,161.12207728877212,146.46507385253906,0.0
165,165.0,161.1146858565976,146.31085479736328,0.0
166,166.0,161.06922762090508,146.5431686401367,0.0
167,167.0,161.08807766692806,146.0250422668457,0.0
168,168.0,161.08843924165976,146.28053176879882,0.0
169,169.0,161.0848233625624,146.3247378540039,0.0
170,170.0,161.08581679989592,146.13736083984375,0.0
171,171.0,161.07408231947156,146.5156128692627,0.0
172,172.0,161.08588631562512,146.48603958129883,0.0
173,173.0,161.10223685177888,146.6641064453125,0.0
174,174.0,161.0794330681695,146.58118927001954,0.0
175,175.0,161.04861568874782,146.1959206390381,0.0
176,176.0,161.09959233409228,146.07635467529298,0.0
177,177.0,161.0550890608508,146.62662010192872,0.0
178,178.0,161.01191734776353,146.03649841308595,0.0
179,179.0,161.0203858362063,146.95361289978027,0.0
180,180.0,160.9951295062749,146.56786087036133,0.0
181,181.0,161.04715051284944,146.62258506774901,0.0
182,182.0,161.02230005745935,146.25768157958984,0.0
183,183.0,160.996575001418,145.95719635009766,0.0
184,184.0,160.9805059140138,146.5009844970703,0.0
185,185.0,160.99404092615302,146.62889724731446,0.0
186,186.0,161.01365481944998,146.1670693206787,0.0
187,187.0,160.98212781039152,146.05201599121094,0.0
188,188.0,161.0065007508403,146.30865257263184,0.0
189,189.0,160.97494713022252,146.45908309936524,0.0
190,190.0,160.94201797909207,146.2948896789551,0.0
191,191.0,160.9274871070939,146.2294902038574,0.0
192,192.0,160.97973550314856,146.32100296020508,0.0
193,193.0,160.94838435895514,146.23141502380372,0.0
194,194.0,160.99830268281877,146.4586196899414,0.0
195,195.0,160.93164862006603,146.28800247192382,0.0
196,196.0,160.92539619060477,146.22255310058594,0.0
197,197.0,160.97128200685134,146.37328063964844,0.0
198,198.0,160.91069264999544,146.1025326538086,0.0
199,199.0,160.9106150598237,146.39194305419923,0.0
200,200.0,160.91270102221557,146.1745471191406,0.0
201,201.0,161.05129235778193,146.2308255004883,0.0
202,202.0,160.91170283885918,146.50196891784668,0.0
203,203.0,160.91253207775077,146.4111328125,0.0
204,204.0,160.86076411584412,146.10520248413087,0.0
205,205.0,160.88074493061413,146.15727401733398,0.0
206,206.0,160.93080215492634,146.35634246826172,0.0
207,207.0,160.83570012256354,146.1067652130127,0.0
208,208.0,160.8629832924737,145.95818603515625,0.0
209,209.0,160.86978039558488,146.09725311279297,0.0
