,learning_rate,train_loss
0,0.0005,173.26436583316686
1,0.00051,184.6826004375111
2,0.0005200000000000001,184.96929826293328
3,0.0005300000000000001,184.78419297420618
4,0.0005400000000000001,171.01810230062466
5,0.0005500000000000001,182.6813524720163
6,0.0005600000000000002,184.60838859249847
7,0.0005700000000000002,187.3244438225332
8,0.0005800000000000002,184.7274998959628
9,0.0005900000000000002,184.63166841217966
10,0.0006000000000000003,184.31191770688451
11,0.0006100000000000003,184.49469526271628
12,0.0006200000000000003,185.46106030473806
13,0.0006300000000000004,184.541789187807
14,0.0006400000000000004,184.4462155683113
15,0.0006500000000000004,221.73071935865613
16,0.0006600000000000004,185.77157075592964
17,0.0006700000000000005,170.74335637949935
18,0.0006800000000000005,186.22865192528926
19,0.0006900000000000005,183.50500988353383
20,0.0007000000000000005,188.46981198782873
21,0.0007100000000000006,189.7809141347866
22,0.0007200000000000006,184.36064431623979
23,0.0007300000000000006,270.22875624608514
24,0.0007400000000000006,170.7813299999815
25,0.0007500000000000007,193.1092334793553
26,0.0007600000000000007,191.40968014572607
27,0.0007700000000000007,190.83607000254622
28,0.0007800000000000007,171.49569771275375
29,0.0007900000000000008,182.73974441142997
30,0.0008000000000000008,169.44361458287094
31,0.0008100000000000008,169.43749019815465
32,0.0008200000000000008,169.7403326855284
33,0.0008300000000000009,170.4057186311664
34,0.0008400000000000009,174.11630754027703
35,0.0008500000000000009,169.63995356473055
36,0.000860000000000001,170.712252814553
37,0.000870000000000001,182.4308297274811
38,0.000880000000000001,169.37519288419472
39,0.000890000000000001,181.4184172235354
40,0.0009000000000000011,170.35316847753043
41,0.0009100000000000011,177.01155449221832
42,0.0009200000000000011,180.97067797805323
43,0.0009300000000000011,183.7257507023667
44,0.0009400000000000012,169.19080266239666
45,0.0009500000000000012,183.83585807492034
46,0.0009600000000000012,183.54150231024232
47,0.0009700000000000012,176.09507089402942
48,0.0009800000000000013,184.58762750259552
49,0.0009900000000000013,184.57583918484775
50,0.0010000000000000013,183.46238701174957
51,0.0010100000000000013,184.91319051800352
52,0.0010200000000000014,177.7095747891821
53,0.0010300000000000014,184.647456345221
54,0.0010400000000000014,182.35919286323318
55,0.0010500000000000015,186.3422345101713
56,0.0010600000000000015,176.84697133150968
57,0.0010700000000000015,181.0450671825987
58,0.0010800000000000015,183.4944692723438
59,0.0010900000000000016,184.52690943323
60,0.0011000000000000016,184.02416042212283
61,0.0011100000000000016,184.01698828571975
62,0.0011200000000000016,188.3940012375032
63,0.0011300000000000017,185.32768385222465
64,0.0011400000000000017,173.73193583247638
65,0.0011500000000000017,187.6443706173367
66,0.0011600000000000017,184.64732651912806
67,0.0011700000000000018,183.8686277516683
68,0.0011800000000000018,184.67541541590836
69,0.0011900000000000018,219.4866574135212
70,0.0012000000000000018,284.52852780197605
71,0.0012100000000000019,193.4063165784123
72,0.001220000000000002,21043590364.82218
73,0.001230000000000002,212.0471520325632
74,0.001240000000000002,184.10850499085706
75,0.001250000000000002,4.305635632481957e+21
76,0.001260000000000002,236.05684722669196
77,0.001270000000000002,232.48306048229486
78,0.001280000000000002,248.07838469611275
79,0.001290000000000002,188.48993882381555
80,0.0013000000000000021,194.09915966997244
81,0.0013100000000000021,247.90400335832075
82,0.0013200000000000022,191.21223203177405
83,0.0013300000000000022,951430638.1147747
84,0.0013400000000000022,
85,0.0013500000000000022,183.9108157448817
86,0.0013600000000000023,219.1342860435717
87,0.0013700000000000023,
88,0.0013800000000000023,
89,0.0013900000000000023,
90,0.0014000000000000024,4.912988517382598e+25
91,0.0014100000000000024,9566970654.324644
92,0.0014200000000000024,
93,0.0014300000000000024,575.0679976345795
94,0.0014400000000000025,
95,0.0014500000000000025,3581274.6666518054
96,0.0014600000000000025,3.500038863242449e+27
97,0.0014700000000000026,
98,0.0014800000000000026,
99,0.0014900000000000026,9.330836584834005e+24
