epoch,train_loss,test_loss,vae_efficiency,n0_fr1,zero_pixels
86,247.71350941558453,263.60625633826623,0.53,39,4466.715
87,247.63327374448866,263.51791644554874,0.485,46,4811.86
88,247.54784034603418,263.40472466441304,0.525,49,4122.78
89,247.47362687794507,263.31553634313434,0.58,50,4863.64
90,247.39923107767592,263.10513178201825,0.525,46,4773.815
91,247.3198691096144,262.77238988417844,0.555,54,4641.21
92,247.23573709577164,263.17093323056514,0.46,42,5464.02
93,247.15410830505445,263.3082873271062,0.385,35,4578.19
94,247.09809511897222,263.03984237175723,0.54,41,4116.155
95,246.986394235663,262.81156693972076,0.45,40,4584.03
96,246.9346758572544,262.67051102564886,0.505,50,5424.66
97,246.85101476113184,262.58971905708313,0.475,41,5077.115
98,246.77429868622244,262.6956013670334,0.465,42,4934.715
99,246.7163929047517,262.34876212706934,0.49,40,5352.025
100,246.64453735607387,262.57566661101123,0.54,41,5597.315
101,246.56632468141154,262.63846922379275,0.47,43,5495.675
102,246.4863784666778,262.12684074731976,0.46,35,5567.11
103,246.42336001234108,262.38397044401904,0.51,37,5373.02
104,246.36742052808802,262.42124730807086,0.535,47,5094.925
105,246.2966428170061,261.9914807356321,0.445,41,6148.765
106,246.21433590570794,261.9988168661411,0.555,47,5036.09
107,246.13129109860992,261.8126790603766,0.54,41,4946.955
108,246.08452627452075,261.6698544759017,0.53,46,5331.65
109,246.01416525762994,261.6430692122533,0.445,47,5941.955
110,245.92339271227954,261.7518387574416,0.505,39,5238.565
111,245.87760848865298,261.70486094401434,0.49,39,5309.63
112,245.79073482234926,261.4530885173724,0.46,33,6192.12
113,245.74511972379983,261.4925268613375,0.52,47,5679.665
114,245.66818390276316,261.6495197873849,0.47,40,5478.09
115,245.60642233012635,261.51295453080763,0.55,47,5355.675
116,245.51813815639724,261.2812443834085,0.48,41,5273.325
117,245.4734126679546,261.04910668959985,0.49,38,6040.37
118,245.41637880528523,261.1569808263045,0.505,44,6359.37
119,245.33622527431376,260.88063261142145,0.455,36,6217.78
120,245.25339686596217,261.0146087729014,0.535,45,4804.45
121,245.1960735366105,260.8749648515995,0.515,49,5799.01
122,245.1420397587692,260.9778845470685,0.535,47,5875.295
123,245.08785162246767,260.63056885279144,0.525,45,6627.06
124,245.02474273375813,260.8213035876934,0.485,33,5596.125
125,244.93737893525355,260.7674540097897,0.48,44,6026.84
126,244.8817642960783,260.39943115527814,0.505,40,6105.695
127,244.81392354315474,260.52012343590076,0.49,45,5586.06
128,244.76965884365808,260.65203257248953,0.485,39,6027.14
129,244.70191488250003,260.456151343309,0.525,46,5983.855
130,244.62320468273492,260.39090621929904,0.45,37,6206.04
131,244.5572635573306,260.5569442694004,0.56,44,6140.11
132,244.5086959751073,260.53277230262756,0.455,38,6256.85
133,244.4398712964342,260.16152062782874,0.475,50,6421.585
134,244.35149521079848,260.31336416647986,0.52,45,6543.955
135,244.30699705746892,260.14924975083426,0.445,32,6643.235
136,244.24100040179385,259.9455224367288,0.545,45,7326.01
137,244.1745041587189,259.6901931120799,0.48,38,6217.31
138,244.13229208278904,260.0882325745546,0.555,55,6608.155
139,244.058514091958,259.90353627617543,0.54,42,6705.32
140,244.0031828453693,259.6632629266152,0.445,38,6795.75
141,243.95068891359855,259.6980668948247,0.5,41,6373.19
142,243.8694259519712,259.64056915044785,0.545,41,6788.165
143,243.81321215691352,259.7053321095613,0.48,36,6848.57
144,243.7497221492191,259.57989359360477,0.475,43,6585.67
145,243.68575224333503,259.8313437012526,0.45,34,6850.565
146,243.62027254702022,259.41298363758966,0.51,45,6786.885
147,243.56656907611713,259.2518000190075,0.5,39,6904.1
148,243.50310385392544,259.05750703811646,0.525,42,6368.15
149,243.43645359295712,259.12185138922473,0.475,40,6987.92
150,243.37959535898477,258.83844059247235,0.48,40,6096.1
151,243.3215046039425,258.92022082897336,0.5,41,6926.37
152,243.2516761575416,259.20770679528897,0.475,40,6987.89
153,243.19679639281668,259.35954560224826,0.505,36,6821.34
154,243.1426847126767,258.81452030401965,0.49,44,6722.725
155,243.0722575249459,258.412892469993,0.515,46,6965.09
156,243.0302783289873,258.8829731666125,0.545,50,6565.54
157,242.951009304417,258.75073380653674,0.495,38,7177.38
158,242.8809816049123,258.62247569744403,0.54,37,7268.845
159,242.80385546458237,258.65044006476035,0.46,34,7382.59
160,242.77205500568564,258.44203663789307,0.5,37,7193.1
161,242.70687685403823,258.6038381778277,0.54,41,7007.64
162,242.655061562638,258.6340167980928,0.56,41,7464.4
163,242.58759677179376,258.3999545115691,0.47,34,7244.225
164,242.53125993239954,258.4794519497798,0.495,42,7381.94
165,242.44685506188384,258.4497993863546,0.445,37,7459.725
166,242.40933713053914,258.0437979056285,0.49,35,7231.85
167,242.34039346758613,258.1934650677901,0.495,39,7177.565
168,242.26934041106253,258.3870148567053,0.405,32,7156.485
169,242.23136234385197,258.0711913062976,0.5,49,7893.09
170,242.18391367408347,257.7615251655762,0.57,48,7036.37
171,242.1287908741585,258.11988018109247,0.49,37,7353.3
172,242.05981147087596,257.8814948980625,0.535,42,7965.26
173,242.00214513404543,258.2189335181163,0.51,35,7521.55
174,241.94965453599215,257.934836933246,0.49,36,7518.235
175,241.87016913244372,257.98067448689386,0.435,34,7436.515
176,241.83060463752858,257.83425013606364,0.46,40,7710.005
177,241.76581635029646,257.8335447357251,0.505,40,7820.565
178,241.70565542050423,257.8098252094709,0.525,39,7628.37
179,241.63732181549653,257.09192076096167,0.54,44,7637.885
180,241.59294107428704,257.2773294219604,0.43,34,7911.72
181,241.52114003447022,257.4978948831558,0.52,41,7963.115
182,241.4822575944605,257.78868622504746,0.555,47,7507.015
183,241.41493143408132,257.28460268790906,0.46,40,7863.325
184,241.37366860931448,257.47411487652704,0.5,38,8113.85
185,241.3004752699694,257.26236527241196,0.475,27,7906.675
186,241.22667295993455,257.41700944533716,0.465,29,7925.255
187,241.18063552930866,257.5085153717261,0.545,43,7924.745
188,241.1582994860786,257.4060991910788,0.555,47,7882.63
189,241.05703092882354,257.5153693877734,0.495,38,7744.41
190,241.01908520397808,257.1321608561736,0.47,36,7738.54
191,240.95056666958678,257.1982857172306,0.49,46,7995.72
192,240.9263792350477,256.9469257272207,0.505,42,8057.325
193,240.85704970116333,257.10124596265644,0.54,36,8203.875
194,240.79764956872722,257.0842885695971,0.505,35,8133.095
195,240.74185172698608,257.13045432934393,0.505,34,8067.36
196,240.6874173738084,256.82324772156204,0.495,37,7890.12
197,240.63650718140104,256.6270765066147,0.49,35,7984.85
198,240.58947433223994,256.81305838318974,0.45,40,8054.9
199,240.51919923470416,257.06191791020905,0.485,35,8118.63
200,240.48582569053124,256.58793942286417,0.45,38,8064.96
201,240.40904210373643,256.6435291216924,0.5,39,8064.585
202,240.34758358905816,256.96872105965247,0.5,40,7948.045
203,240.3207570703777,256.3970281710991,0.465,30,8127.075
204,240.25633643295248,256.46129834651947,0.475,42,8100.48
205,240.22719504233268,256.5805647831697,0.425,29,7834.51
206,240.1494223693943,256.42857736807605,0.525,50,8215.345
207,240.11653836190274,256.669605745719,0.515,43,8086.235
208,240.06280890500977,256.1110380887985,0.53,43,8566.905
209,240.00451634631906,256.6674916560833,0.465,38,8402.295
210,239.94796497104844,256.64627453914056,0.475,42,8656.65
211,239.89268242885856,256.5995869086339,0.425,31,8416.975
212,239.8390380229697,256.3836993254148,0.53,36,8224.595
213,239.8017023819428,255.94760959423505,0.565,46,8380.645
214,239.7432192008936,256.2601628945424,0.46,37,8248.29
215,239.68819633603658,256.3408032334768,0.54,47,8255.91
216,239.64091999598745,255.96717250347137,0.45,33,8202.62
217,239.59393750565604,256.0420601092852,0.515,37,8474.335
218,239.55244658309826,255.93229088416467,0.45,33,8232.865
219,239.4890787932517,255.75388305003827,0.515,41,8248.68
220,239.42891935509275,255.8384836270259,0.525,45,8639.145
221,239.3874529470959,256.0194962391487,0.495,39,8347.705
222,239.32288349577792,255.8259682563635,0.45,33,8428.2
223,239.28605884132799,255.89420562524063,0.555,48,8627.22
224,239.2428352825163,255.82684344970264,0.45,42,8256.015
225,239.2008052038685,256.25254599864667,0.485,40,8127.865
226,239.15975545154367,256.02110477594226,0.52,38,8660.925
227,239.07465622879678,255.7427829504013,0.455,36,8535.33
228,239.03043118941858,256.0227823303296,0.47,40,8666.44
229,238.97778083296598,255.92166835298906,0.415,35,8446.685
230,238.94297600969855,255.86091472552374,0.455,39,8720.995
231,238.90059011430571,255.5341514807481,0.515,46,8515.87
232,238.84702763443332,255.54406457222424,0.525,37,8609.375
233,238.78026243528748,255.22675453470305,0.485,40,8561.095
234,238.72800600243457,255.05438106793625,0.525,45,8392.45
235,238.70198283655543,255.5873246582655,0.45,31,8722.87
236,238.61638099212252,255.5451352412884,0.485,38,8535.635
237,238.58758380409057,255.3472093664683,0.475,35,8677.42
238,238.54343617425752,255.06583183545334,0.475,35,8589.625
239,238.49752778371757,255.08805318979117,0.44,25,8859.13
240,238.437513860183,255.08631896972656,0.46,37,8677.875
241,238.41459790796537,254.76826027035713,0.49,39,8739.655
242,238.35740642754013,254.90588992375595,0.49,32,8691.415
243,238.31451762512933,255.2733433338312,0.49,41,8800.94
244,238.26952564307527,255.34779725624963,0.485,32,8971.265
245,238.23647566296637,254.73687811539725,0.535,46,8760.35
246,238.1561259226253,254.9555713213407,0.485,40,8823.87
247,238.11904722480327,254.714576789966,0.525,44,8775.0
248,238.07036171139714,255.05897024961618,0.505,36,8749.975
249,238.0249151972041,255.2838094326166,0.515,40,8933.335
250,237.9874582614791,254.83655659969037,0.465,32,8913.085
251,237.93509300175535,254.8607998261085,0.5,38,8741.815
252,237.88818754333673,254.73578309095822,0.49,37,8521.84
253,237.82085313144353,254.58650153416855,0.475,33,8903.39
254,237.77916528596836,254.42563531490472,0.5,36,8941.05
255,237.76844753235727,254.46697749999853,0.535,40,8652.335
256,237.71847603048897,254.24215358037216,0.495,43,8907.205
257,237.6554402996901,254.84942562992757,0.455,38,8936.72
258,237.61270741888742,254.7014676653422,0.495,38,9049.24
259,237.5708644418087,254.80030591212787,0.475,34,8767.395
260,237.5369502993332,254.55927573717557,0.435,32,8823.54
261,237.46924489286866,254.45746186604867,0.525,39,8931.455
262,237.43396357620767,254.61488438569583,0.535,45,8960.55
263,237.40385168802626,253.98385011232816,0.495,31,8959.96
264,237.34779090282484,254.1177302323855,0.505,39,8773.985
265,237.32368530985096,254.05329910608438,0.475,36,8886.71
266,237.28729024432704,254.3353231044916,0.52,37,9031.55
267,237.206085195194,254.7301389987652,0.5,37,9220.285
268,237.1554990805353,254.25892301706168,0.49,38,9137.535
269,237.13993027391567,254.4054968907283,0.52,39,9093.975
270,237.0815044735067,253.4192561002878,0.51,40,9029.68
271,237.04106533787197,253.6556984094473,0.455,36,9000.455
272,237.00514990511945,254.05642692859357,0.535,40,8964.16
273,236.95165753026612,253.8813504255735,0.565,47,9034.44
274,236.914323677106,253.69883905924283,0.495,39,9087.955
275,236.85530188824595,254.10993525615106,0.465,38,9065.63
276,236.83541399428546,253.84787819018732,0.475,36,9124.895
277,236.79709568991746,253.8297170813267,0.51,37,9155.225
278,236.74700544752957,253.5705810556045,0.485,35,9255.36
279,236.6884098785568,253.66510259188138,0.525,45,9207.32
280,236.67468160449906,253.2583104142776,0.51,41,9046.98
281,236.61525125856753,253.46900870249823,0.47,42,9169.705
282,236.57912147730121,253.5776323263462,0.42,30,9138.885
283,236.5519253181768,253.40605446008536,0.465,28,9161.48
284,236.49815566509602,253.33911845317255,0.47,40,9240.435
285,236.45112632596806,253.35753242786114,0.525,37,9254.915
286,236.41002454788216,253.0296701467954,0.49,34,9137.355
287,236.39086703820993,253.2784653397707,0.455,32,9247.265
288,236.32911909522306,253.18085951988513,0.515,36,9200.175
289,236.28969056045585,253.45688532865964,0.475,33,9319.845
290,236.27002374741784,253.3385802576175,0.475,35,9279.19
291,236.19428910062254,252.96032269642905,0.45,31,9256.07
292,236.16705019636464,253.428188424844,0.47,36,9212.015
293,236.13781222677906,253.00179780446567,0.475,34,9186.175
294,236.07337895291477,253.22623198765976,0.47,34,9218.89
295,236.0446913858282,253.26770361570212,0.52,36,9323.515
296,236.01724365058786,252.8598007238828,0.42,29,9333.515
297,235.98384862933793,253.17467121894543,0.485,36,9201.99
298,235.93903808640263,253.1651372909546,0.515,43,9144.425
299,235.89864833499215,253.20648710544293,0.52,40,9211.935
300,235.84411021242636,252.62078099296644,0.485,36,9315.605
301,235.811166651673,253.27232999526538,0.495,37,9292.445
302,235.76298169852794,252.33809538987967,0.5,37,9291.385
303,235.72210552190575,252.84187957873712,0.475,32,9387.615
304,235.6904223020112,252.69085251368008,0.465,36,9303.545
305,235.64771532405533,252.5070535999078,0.48,36,9429.57
306,235.6271073318549,252.6661552603428,0.525,46,9228.76
307,235.59099263858548,252.5234432862355,0.49,41,9422.915
308,235.53581967300767,252.6164317085193,0.53,37,9464.795
309,235.52124017012807,252.3387659742282,0.525,42,9316.43
310,235.46261112967235,252.37291071735896,0.525,47,9402.6
311,235.44183071458,252.9316046146246,0.51,44,9341.805
312,235.3786734858767,252.3439150773562,0.505,36,9287.175
313,235.3515371064772,252.3107067988469,0.535,38,9420.895
314,235.30567423764242,252.75211086181494,0.51,43,9314.38
315,235.27119560253328,252.29236602783203,0.455,37,9384.635
316,235.25969025057057,252.50541066206418,0.52,41,9402.97
317,235.20843231923297,252.09763006063608,0.535,38,9452.14
318,235.1886930063065,252.34880630786603,0.555,43,9504.565
319,235.16477353084815,252.06555367433108,0.495,37,9341.095
320,235.11734950137273,252.02121811646683,0.55,44,9429.65
321,235.07444709620268,252.10332450499902,0.53,43,9439.26
322,235.02297476693053,252.25514303720914,0.475,37,9428.135
323,234.985210645455,251.69302256749228,0.575,40,9466.395
324,234.9413714171219,252.01072241709784,0.53,46,9413.65
325,234.90124842459574,251.5198663839927,0.515,32,9497.22
326,234.87615261214515,252.05042167810294,0.48,33,9422.71
327,234.84818228867118,251.75264604733542,0.53,48,9438.37
328,234.80296768580354,251.6747246980667,0.575,43,9497.055
329,234.77582552985,251.91478447959975,0.565,49,9440.145
330,234.7486130525891,252.0734280531223,0.455,34,9429.915
331,234.72960379283214,251.91222227078217,0.505,42,9444.995
332,234.6824476951107,251.6222918171149,0.48,33,9451.26
333,234.64647305969277,251.3694907426834,0.52,39,9465.63
334,234.61726171158924,251.86779196904257,0.565,41,9464.69
335,234.5912128481046,251.69331141618582,0.545,48,9440.27
336,234.55946621926088,251.26835585557498,0.52,41,9473.36
337,234.5111466422166,251.2497912461941,0.49,35,9498.99
338,234.47998694693274,251.2756460263179,0.5,33,9459.575
339,234.45251504525672,251.60138732653397,0.475,33,9420.06
340,234.39040878818014,251.1501470712515,0.535,38,9472.26
341,234.36695219492552,251.6600811939973,0.45,33,9522.455
342,234.35051228610902,251.25370149429028,0.52,40,9457.9
343,234.28459285755852,251.36937426603757,0.5,31,9523.555
344,234.27771616788777,251.5404898570134,0.49,36,9547.52
345,234.2154678861609,251.57481101843027,0.5,36,9536.93
346,234.22308184718636,251.46867736486288,0.495,40,9469.225
347,234.17450620560834,251.35587980197027,0.51,39,9514.085
348,234.13872168613196,250.57728759142068,0.48,38,9494.4
349,234.14790831032258,251.48742963029787,0.5,39,9503.125
350,234.06669046035393,251.45331989801846,0.5,35,9506.185
351,234.05444902037178,250.86642376276163,0.48,40,9508.445
352,234.02873413941788,251.1178395793988,0.48,41,9501.545
353,234.0088533222121,251.00277770482577,0.5,44,9536.98
354,233.95571414393416,251.30141867124118,0.475,42,9530.71
355,233.93854787512862,250.7538281220656,0.535,44,9587.8
356,233.90405668657812,250.48078720386212,0.525,41,9470.345
357,233.86719935980716,250.63273059863312,0.52,38,9506.995
358,233.84889449398796,250.86385815418683,0.53,34,9486.635
359,233.80095604116136,251.00586366653442,0.465,34,9549.75
360,233.78770179818306,250.5638491832293,0.43,30,9541.695
361,233.74521984623038,250.46693493081972,0.48,32,9563.525
362,233.71670844100302,250.50468294895612,0.545,44,9602.08
363,233.69885898555785,250.40516798312848,0.505,36,9506.63
364,233.669266640713,250.89931661349075,0.51,40,9523.205
365,233.63057168688175,250.61333680152893,0.535,45,9578.655
366,233.6098833780357,250.62430525743045,0.48,38,9527.63
367,233.56921622281104,250.88761195769678,0.495,38,9541.795
368,233.51479445737849,250.85740567170657,0.485,37,9514.82
369,233.5011528162236,250.62236407169928,0.49,38,9548.8
370,233.48634286530768,250.86204663148294,0.44,31,9496.245
371,233.45496271572685,250.90243015839502,0.49,37,9524.415
372,233.43669153535316,250.34240422799036,0.465,36,9531.58
373,233.40665968429968,250.73928908201364,0.445,36,9591.81
374,233.36841353358446,250.58604306441086,0.445,34,9513.62
375,233.3368779074726,250.40361651548972,0.51,40,9566.835
376,233.32643084416318,250.50429372604077,0.495,46,9543.0
377,233.269518035484,250.53912889040433,0.535,34,9539.385
378,233.24080775318632,250.40903146450336,0.49,32,9532.525
379,233.2070630685056,250.689127775339,0.48,33,9554.005
380,233.18005858178438,250.4666576568897,0.515,35,9573.215
381,233.12517390202467,250.2575205885447,0.495,42,9570.44
382,233.12767516678198,250.0569450671856,0.51,30,9591.35
383,233.106368457775,249.85941987771255,0.44,29,9581.13
384,233.09990609184558,250.57103927777365,0.455,31,9619.23
385,233.05621012469797,250.1343196447079,0.5,40,9572.58
386,233.0243144466317,250.34021607729105,0.54,44,9609.475
387,232.98517248714467,249.7477966088515,0.53,40,9591.265
388,232.96535015571337,249.81845910732562,0.555,42,9578.1
389,232.93551209270547,249.84751463853397,0.47,28,9612.71
390,232.89878307168684,249.77449037478522,0.54,31,9600.34
391,232.8873320554673,250.18011962908966,0.48,37,9602.22
392,232.851742940239,250.39639679285196,0.5,35,9595.185
393,232.83554761828745,249.99333698015946,0.475,37,9619.145
394,232.81541067186498,250.04272044621982,0.575,49,9575.285
395,232.78094737287375,249.61000735026138,0.48,42,9614.82
396,232.73653129440422,249.91844051617844,0.425,33,9607.645
397,232.7431142269484,249.8099776002077,0.515,40,9574.19
398,232.6631451254846,249.59857232754047,0.475,40,9568.635
399,232.6762598921769,250.05748748779297,0.485,38,9634.405
400,232.62237654879152,249.97923812040915,0.545,45,9574.82
401,232.6058443104634,249.86247056264145,0.47,37,9562.93
402,232.58728762026186,249.89485751665555,0.54,42,9629.585
403,232.56919557135055,249.51336115140182,0.545,47,9579.485
404,232.55693278583772,249.81428372859955,0.525,37,9577.765
405,232.52670553591426,249.7068851257746,0.55,45,9620.8
406,232.49109288262005,249.5667146215072,0.54,47,9630.03
407,232.4644789507505,249.8711752112095,0.49,32,9641.825
408,232.45538936586502,249.79609617820154,0.49,35,9578.585
409,232.39322736484579,249.22781853492444,0.475,35,9588.595
410,232.40144167148455,249.90063553590042,0.51,37,9592.335
411,232.37260832609954,249.99908574727866,0.47,41,9596.185
412,232.3438344687119,249.49787282943726,0.49,36,9636.625
413,232.2986141658923,250.17827645631937,0.435,35,9609.935
414,232.28971716885596,249.8494911468946,0.51,42,9605.56
415,232.27998221987104,249.1841764816871,0.46,31,9597.5
416,232.22466026001487,249.01646913702672,0.525,33,9632.47
417,232.20789659730073,249.8133147450594,0.49,32,9628.845
418,232.1590293656942,249.86981712854825,0.54,40,9610.295
419,232.15514472707926,249.42935613485483,0.48,35,9615.52
420,232.14795122871928,249.1433090017392,0.51,39,9609.74
421,232.114204317781,249.3908166060081,0.465,35,9581.245
422,232.0648907319999,249.40580144295325,0.505,35,9603.885
423,232.05475080909025,249.12173432570236,0.525,44,9621.375
424,232.03328905133208,248.98179843792548,0.495,36,9630.585
425,232.00786673341324,249.28866536112932,0.475,32,9641.89
426,231.96281868908903,249.00462097388046,0.51,39,9628.745
427,231.94651853534947,248.92853808403015,0.495,38,9613.84
428,231.95101887517325,248.99856873658987,0.505,37,9611.645
429,231.89674853973318,249.19941447331354,0.54,50,9592.96
430,231.89011756328344,249.29131388664246,0.53,37,9615.325
431,231.87304448609018,249.90210553774466,0.47,34,9601.455
432,231.85565799642782,249.20749494662653,0.48,37,9629.855
433,231.83058320318594,249.18816801217886,0.57,47,9599.195
434,231.8023802215525,248.93524362949225,0.49,39,9635.86
435,231.7650701246362,249.38300504134253,0.535,42,9632.13
436,231.7330540417353,249.09035680385736,0.48,35,9598.93
437,231.74721152345285,249.27225681910147,0.555,36,9611.32
438,231.69454150090147,249.38958816344922,0.57,50,9600.005
439,231.70908401935787,248.50016003388626,0.545,39,9597.68
440,231.6597900413882,248.81231201153534,0.49,43,9629.19
441,231.64746243814528,248.95943002058908,0.535,40,9608.4
442,231.6460310397143,249.41637527942657,0.51,32,9627.04
443,231.5877119755349,249.0252922498263,0.51,36,9664.905
444,231.55449199923618,249.04858215955588,0.49,34,9638.72
445,231.5304380270643,248.73802001659686,0.51,46,9650.155
446,231.50844003601492,248.8886230267011,0.505,39,9631.685
447,231.49546405517225,248.81626132359872,0.575,41,9648.455
448,231.47829169453763,249.07471568309344,0.485,36,9631.885
449,231.46360144769977,248.80712916759344,0.515,36,9617.335
450,231.4161642958634,248.60377043944138,0.485,40,9636.7
451,231.41621554920795,249.23393592467676,0.465,33,9643.155
452,231.38320376491097,248.28186733906085,0.505,38,9623.34
453,231.36798679216335,248.62910688840427,0.51,38,9625.37
454,231.3214775559888,248.7039601619427,0.515,39,9641.61
455,231.31912434477212,248.87513177211468,0.5,44,9674.815
